Microsoft (R) COFF Binary File Dumper Version 5.12.8078
Copyright (C) Microsoft Corp 1992-1998. All rights reserved.


Dump of file kernel32.dll

File Type: DLL

  Section contains the following exports for KERNEL32.dll

           0 characteristics
    48025BE1 time date stamp Sun Apr 13 23:45:45 2008
        0.00 version
           1 ordinal base
         953 number of functions
         953 number of names

    ordinal hint RVA      name
        429  1AC 00035BC8 GetShortPathNameA
        430  1AD 0001F256 GetShortPathNameW
        431  1AE 00001EF2 GetStartupInfoA
        432  1AF 00001E54 GetStartupInfoW
        433  1B0 00012FC9 GetStdHandle
        434  1B1 00038A24 GetStringTypeA
        435  1B2 000770EF GetStringTypeExA
        436  1B3 0000C07F GetStringTypeExW
        437  1B4 0000A520 GetStringTypeW
        438  1B5 00061C60 GetSystemDEPPolicy
        439  1B6 0000BFCD GetSystemDefaultLCID
        440  1B7 00012842 GetSystemDefaultLangID
        441  1B8 000130C8 GetSystemDefaultUILanguage
        442  1B9 00014F7A GetSystemDirectoryA
        443  1BA 00031DD3 GetSystemDirectoryW
        444  1BB 00012DE6 GetSystemInfo
        445  1BC 00035358 GetSystemPowerStatus
        446  1BD 00062200 GetSystemRegistryQuota
        447  1BE 0000176F GetSystemTime
        448  1BF 0002D367 GetSystemTimeAdjustment
        449  1C0 000017E9 GetSystemTimeAsFileTime
        450  1C1 00061EA6 GetSystemTimes
        451  1C2 000212D9 GetSystemWindowsDirectoryA
        452  1C3 0000ADB9 GetSystemWindowsDirectoryW
        453  1C4 00021454 GetSystemWow64DirectoryA
        454  1C5 00021454 GetSystemWow64DirectoryW
        455  1C6 0006C1A2 GetTapeParameters
        456  1C7 0006C06C GetTapePosition
        457  1C8 0006C23F GetTapeStatus
        458  1C9 00061807 GetTempFileNameA
        459  1CA 000359CF GetTempFileNameW
        460  1CB 00035DE2 GetTempPathA
        461  1CC 00030779 GetTempPathW
        462  1CD 00039725 GetThreadContext
        463  1CE 00063D11 GetThreadIOPendingFlag
        464  1CF 0000A4A5 GetThreadLocale
        465  1D0 0000A823 GetThreadPriority
        466  1D1 00063A6F GetThreadPriorityBoost
        467  1D2 0005B0F0 GetThreadSelectorEntry
        468  1D3 00063CA4 GetThreadTimes
        469  1D4 0000932E GetTickCount
        470  1D5 00036345 GetTimeFormatA
        471  1D6 00033FEB GetTimeFormatW
        472  1D7 000350D7 GetTimeZoneInformation
        473  1D8 00009FA0 GetUserDefaultLCID
        474  1D9 0000BFF4 GetUserDefaultLangID
        475  1DA 00013100 GetUserDefaultUILanguage
        476  1DB 000379A6 GetUserGeoID
        477  1DC 00068829 GetVDMCurrentDirectories
        478  1DD 0001126A GetVersion
        479  1DE 00012B6E GetVersionExA
        480  1DF 0000AEF5 GetVersionExW
        481  1E0 00021B8D GetVolumeInformationA
        482  1E1 0000FA75 GetVolumeInformationW
        483  1E2 0006AF41 GetVolumeNameForVolumeMountPointA
        484  1E3 0001FB70 GetVolumeNameForVolumeMountPointW
        485  1E4 0002E87B GetVolumePathNameA
        486  1E5 0002E5E5 GetVolumePathNameW
        487  1E6 0006B0E0 GetVolumePathNamesForVolumeNameA
        488  1E7 00020CFC GetVolumePathNamesForVolumeNameW
        489  1E8 0002134B GetWindowsDirectoryA
        490  1E9 0000AE0B GetWindowsDirectoryW
        491  1EA 0005F6D2 GetWriteWatch
        492  1EB 000360C1 GlobalAddAtomA
        493  1EC 000100FC GlobalAddAtomW
        494  1ED 0000FDBD GlobalAlloc
        495  1EE 0005F578 GlobalCompact
        496  1EF 00030BAB GlobalDeleteAtom
        497  1F0 000360DB GlobalFindAtomA
        498  1F1 00034EAF GlobalFindAtomW
        499  1F2 0005F58E GlobalFix
        500  1F3 0003678A GlobalFlags
        501  1F4 0000FCBF GlobalFree
        502  1F5 0005C193 GlobalGetAtomNameA
        503  1F6 0002C3B6 GlobalGetAtomNameW
        504  1F7 00034CD1 GlobalHandle
        505  1F8 0000FFA9 GlobalLock
        506  1F9 000310E2 GlobalMemoryStatus
        507  1FA 0001F97A GlobalMemoryStatusEx
        508  1FB 00012449 GlobalReAlloc
        509  1FC 00034DB9 GlobalSize
        510  1FD 0005F5D2 GlobalUnWire
        511  1FE 0005F5A8 GlobalUnfix
        512  1FF 0000FF12 GlobalUnlock
        513  200 0005F5C2 GlobalWire
        514  201 00064AB6 Heap32First
        515  202 00064971 Heap32ListFirst
        516  203 00064A1F Heap32ListNext
        517  204 00064BD0 Heap32Next
        518  205          HeapAlloc (forwarded to NTDLL.RtlAllocateHeap)
        519  206 00036136 HeapCompact
        520  207 00012C46 HeapCreate
        521  208 0005F7D1 HeapCreateTagsW
        522  209 00010F88 HeapDestroy
        523  20A 0005F7A0 HeapExtend
        524  20B          HeapFree (forwarded to NTDLL.RtlFreeHeap)
        525  20C 0005F8F4 HeapLock
        526  20D 0005FA2D HeapQueryInformation
        527  20E 0005F7E2 HeapQueryTagW
        528  20F          HeapReAlloc (forwarded to NTDLL.RtlReAllocateHeap)
        529  210 00039481 HeapSetInformation
        530  211          HeapSize (forwarded to NTDLL.RtlSizeHeap)
        531  212 0005F7F3 HeapSummary
        532  213 0005F90E HeapUnlock
        533  214 0005F84F HeapUsage
        534  215 0005F8C3 HeapValidate
        535  216 0005F928 HeapWalk
        536  217 0002AF77 InitAtomTable
        537  218 00009F81 InitializeCriticalSection
        538  219 0000B8B9 InitializeCriticalSectionAndSpinCount
        539  21A          InitializeSListHead (forwarded to NTDLL.RtlInitializeSListHead)
        540  21B 00009832 InterlockedCompareExchange
        541  21C 0000980A InterlockedDecrement
        542  21D 0000981E InterlockedExchange
        543  21E 00009846 InterlockedExchangeAdd
        544  21F          InterlockedFlushSList (forwarded to NTDLL.RtlInterlockedFlushSList)
        545  220 000097F6 InterlockedIncrement
        546  221          InterlockedPopEntrySList (forwarded to NTDLL.RtlInterlockedPopEntrySList)
        547  222          InterlockedPushEntrySList (forwarded to NTDLL.RtlInterlockedPushEntrySList)
        548  223 00074235 InvalidateConsoleDIBits
        549  224 0000BD5F IsBadCodePtr
        550  225 00035957 IsBadHugeReadPtr
        551  226 0000C02D IsBadHugeWritePtr
        552  227 00009E91 IsBadReadPtr
        553  228 00032273 IsBadStringPtrA
        554  229 0000A66C IsBadStringPtrW
        555  22A 00009F09 IsBadWritePtr
        556  22B 0000B86C IsDBCSLeadByte
        557  22C 0007B4EE IsDBCSLeadByteEx
        558  22D 00013123 IsDebuggerPresent
        559  22E 0006C304 IsProcessInJob
        560  22F 0000AEBA IsProcessorFeaturePresent
        561  230 00061A68 IsSystemResumeAutomatic
        562  231 0001115B IsValidCodePage
        563  232 0007740F IsValidLanguageGroup
        564  233 0001C1AB IsValidLocale
        565  234 0007751B IsValidUILanguage
        566  235 00015229 IsWow64Process
        567  236 00038E00 LCMapStringA
        568  237 0000CD38 LCMapStringW
        569  238 0006649E LZClose
        570  239 00066427 LZCloseFile
        571  23A 00059754 LZCopy
        572  23B 00065F5D LZCreateFileW
        573  23C 000806F8 LZDone
        574  23D 00065E02 LZInit
        575  23E 00066030 LZOpenFileA
        576  23F 000660F7 LZOpenFileW
        577  240 00066219 LZRead
        578  241 0006618E LZSeek
        579  242 0008012E LZStart
        580  243          LeaveCriticalSection (forwarded to NTDLL.RtlLeaveCriticalSection)
        581  244 00001D7B LoadLibraryA
        582  245 00001D53 LoadLibraryExA
        583  246 00001AF5 LoadLibraryExW
        584  247 0000AEDB LoadLibraryW
        585  248 000624BE LoadModule
        586  249 0000A045 LoadResource
        587  24A 00009A1D LocalAlloc
        588  24B 0005F578 LocalCompact
        589  24C 0003553C LocalFileTimeToFileTime
        590  24D 00055D56 LocalFlags
        591  24E 000099BF LocalFree
        592  24F 00055E51 LocalHandle
        593  250 00032E35 LocalLock
        594  251 00030917 LocalReAlloc
        595  252 0005F78A LocalShrink
        596  253 000325D4 LocalSize
        597  254 00032EC9 LocalUnlock
        598  255 00032379 LockFile
        599  256 0002F559 LockFileEx
        600  257 0000CD27 LockResource
        601  258 0005F676 MapUserPhysicalPages
        602  259 0005F6A4 MapUserPhysicalPagesScatter
        603  25A 0000B995 MapViewOfFile
        604  25B 0000B926 MapViewOfFileEx
